2026-02-05 16:27:20 - src.utils.mongo_opt - ERROR - 连接过程中发生未知错误: Port contains non-digit characters. Hint: username and password must be escaped according to RFC 3986, use urllib.parse.quote_plus
2026-02-05 17:20:02 - src.utils.mongo_opt - ERROR - 连接过程中发生未知错误: Port contains non-digit characters. Hint: username and password must be escaped according to RFC 3986, use urllib.parse.quote_plus
2026-02-05 17:20:18 - src.utils.mongo_opt - INFO - 成功连接到MongoDB数据库: 47.99.119.203:27017/chip
2026-02-05 17:20:20 - src.utils.mongo_opt - INFO - 在集合 products 中未找到匹配文档
2026-02-05 17:20:20 - src.utils.mongo_opt - INFO - 成功插入文档到集合 products，ID: 698460d46d4c46c28618231e
2026-02-05 17:20:20 - src.utils.mongo_opt - INFO - 在集合 datasheets 中未找到匹配文档
2026-02-05 17:20:20 - src.utils.mongo_opt - INFO - 成功插入文档到集合 datasheets，ID: 698460d46d4c46c28618231f
2026-02-05 17:20:20 - src.utils.mongo_opt - INFO - 在集合 papers 中未找到匹配文档
2026-02-05 17:20:20 - src.utils.mongo_opt - INFO - 成功插入文档到集合 papers，ID: 698460d46d4c46c286182320
2026-02-05 17:20:20 - src.utils.mongo_opt - INFO - 在集合 papers 中未找到匹配文档
2026-02-05 17:20:20 - src.utils.mongo_opt - INFO - 成功插入文档到集合 papers，ID: 698460d46d4c46c286182321
2026-02-05 17:20:20 - src.utils.mongo_opt - INFO - 在集合 papers 中未找到匹配文档
2026-02-05 17:20:20 - src.utils.mongo_opt - INFO - 成功插入文档到集合 papers，ID: 698460d46d4c46c286182322
2026-02-05 17:20:20 - src.utils.mongo_opt - INFO - 在集合 papers 中未找到匹配文档
2026-02-05 17:20:20 - src.utils.mongo_opt - INFO - 成功插入文档到集合 papers，ID: 698460d46d4c46c286182323
2026-02-05 17:20:20 - src.utils.mongo_opt - INFO - 在集合 orders 中未找到匹配文档
2026-02-05 17:20:20 - src.utils.mongo_opt - INFO - 成功插入文档到集合 orders，ID: 698460d46d4c46c286182324
2026-02-05 17:20:22 - src.utils.mongo_opt - INFO - 在集合 products 中未找到匹配文档
2026-02-05 17:20:22 - src.utils.mongo_opt - INFO - 成功插入文档到集合 products，ID: 698460d66d4c46c286182325
2026-02-05 17:20:22 - src.utils.mongo_opt - INFO - 在集合 datasheets 中未找到匹配文档
2026-02-05 17:20:22 - src.utils.mongo_opt - INFO - 成功插入文档到集合 datasheets，ID: 698460d66d4c46c286182326
2026-02-05 17:20:22 - src.utils.mongo_opt - INFO - 在集合 papers 中未找到匹配文档
2026-02-05 17:20:22 - src.utils.mongo_opt - INFO - 成功插入文档到集合 papers，ID: 698460d66d4c46c286182327
2026-02-05 17:20:22 - src.utils.mongo_opt - INFO - 在集合 papers 中未找到匹配文档
2026-02-05 17:20:22 - src.utils.mongo_opt - INFO - 成功插入文档到集合 papers，ID: 698460d66d4c46c286182328
2026-02-05 17:20:22 - src.utils.mongo_opt - INFO - 在集合 papers 中未找到匹配文档
2026-02-05 17:20:22 - src.utils.mongo_opt - INFO - 成功插入文档到集合 papers，ID: 698460d66d4c46c286182329
2026-02-05 17:20:22 - src.utils.mongo_opt - INFO - 在集合 orders 中未找到匹配文档
2026-02-05 17:20:22 - src.utils.mongo_opt - INFO - 成功插入文档到集合 orders，ID: 698460d66d4c46c28618232a
2026-02-05 17:20:23 - src.utils.mongo_opt - INFO - 在集合 products 中未找到匹配文档
2026-02-05 17:20:23 - src.utils.mongo_opt - INFO - 成功插入文档到集合 products，ID: 698460d76d4c46c28618232b
2026-02-05 17:20:23 - src.utils.mongo_opt - INFO - 在集合 datasheets 中未找到匹配文档
2026-02-05 17:20:23 - src.utils.mongo_opt - INFO - 成功插入文档到集合 datasheets，ID: 698460d76d4c46c28618232c
2026-02-05 17:20:23 - src.utils.mongo_opt - INFO - 在集合 papers 中未找到匹配文档
2026-02-05 17:20:23 - src.utils.mongo_opt - INFO - 成功插入文档到集合 papers，ID: 698460d76d4c46c28618232d
2026-02-05 17:20:23 - src.utils.mongo_opt - INFO - 在集合 papers 中未找到匹配文档
2026-02-05 17:20:23 - src.utils.mongo_opt - INFO - 成功插入文档到集合 papers，ID: 698460d76d4c46c28618232e
2026-02-05 17:20:23 - src.utils.mongo_opt - INFO - 在集合 papers 中未找到匹配文档
2026-02-05 17:20:23 - src.utils.mongo_opt - INFO - 成功插入文档到集合 papers，ID: 698460d76d4c46c28618232f
2026-02-05 17:20:23 - src.utils.mongo_opt - INFO - 在集合 orders 中未找到匹配文档
2026-02-05 17:20:23 - src.utils.mongo_opt - INFO - 成功插入文档到集合 orders，ID: 698460d76d4c46c286182330
2026-02-05 17:20:25 - src.utils.mongo_opt - INFO - 在集合 products 中未找到匹配文档
2026-02-05 17:20:25 - src.utils.mongo_opt - INFO - 成功插入文档到集合 products，ID: 698460d96d4c46c286182331
2026-02-05 17:20:25 - src.utils.mongo_opt - INFO - 在集合 datasheets 中未找到匹配文档
2026-02-05 17:20:25 - src.utils.mongo_opt - INFO - 成功插入文档到集合 datasheets，ID: 698460d96d4c46c286182332
2026-02-05 17:20:25 - src.utils.mongo_opt - INFO - 在集合 papers 中未找到匹配文档
2026-02-05 17:20:25 - src.utils.mongo_opt - INFO - 成功插入文档到集合 papers，ID: 698460d96d4c46c286182333
2026-02-05 17:20:25 - src.utils.mongo_opt - INFO - 在集合 papers 中未找到匹配文档
2026-02-05 17:20:25 - src.utils.mongo_opt - INFO - 成功插入文档到集合 papers，ID: 698460d96d4c46c286182334
2026-02-05 17:20:25 - src.utils.mongo_opt - INFO - 在集合 papers 中未找到匹配文档
2026-02-05 17:20:25 - src.utils.mongo_opt - INFO - 成功插入文档到集合 papers，ID: 698460d96d4c46c286182335
2026-02-05 17:20:25 - src.utils.mongo_opt - INFO - 在集合 orders 中未找到匹配文档
2026-02-05 17:20:25 - src.utils.mongo_opt - INFO - 成功插入文档到集合 orders，ID: 698460d96d4c46c286182336
2026-02-05 17:20:27 - src.utils.mongo_opt - INFO - 在集合 products 中未找到匹配文档
2026-02-05 17:20:27 - src.utils.mongo_opt - INFO - 成功插入文档到集合 products，ID: 698460db6d4c46c286182337
2026-02-05 17:20:27 - src.utils.mongo_opt - INFO - 在集合 datasheets 中未找到匹配文档
2026-02-05 17:20:27 - src.utils.mongo_opt - INFO - 成功插入文档到集合 datasheets，ID: 698460db6d4c46c286182338
2026-02-05 17:20:27 - src.utils.mongo_opt - INFO - 在集合 papers 中未找到匹配文档
2026-02-05 17:20:27 - src.utils.mongo_opt - INFO - 成功插入文档到集合 papers，ID: 698460db6d4c46c286182339
2026-02-05 17:20:27 - src.utils.mongo_opt - INFO - 在集合 papers 中未找到匹配文档
2026-02-05 17:20:27 - src.utils.mongo_opt - INFO - 成功插入文档到集合 papers，ID: 698460db6d4c46c28618233a
2026-02-05 17:20:27 - src.utils.mongo_opt - INFO - 在集合 papers 中未找到匹配文档
2026-02-05 17:20:27 - src.utils.mongo_opt - INFO - 成功插入文档到集合 papers，ID: 698460db6d4c46c28618233b
